polaris-1  | 2026-07-08 01:56:59,036 INFO  [org.apa.pol.ser.tas.TaskExecutorImpl] [2e6f3ccb-3286-4643-ae14-2d1b93d91717_0000000000000008126,POLARIS] [aa415044a10ca4ce4e38b4600c599809,3f92e7c17c63a731,a20a411794464a0d,true] (executor-thread-149) Handling task entity id 981
polaris-1  | 2026-07-08 01:56:59,036 INFO  [org.apa.ice.CatalogUtil] [2e6f3ccb-3286-4643-ae14-2d1b93d91717_0000000000000008126,POLARIS] [aa415044a10ca4ce4e38b4600c599809,3f92e7c17c63a731,a20a411794464a0d,true] (executor-thread-149) Loading custom FileIO implementation: org.apache.iceberg.aws.s3.S3FileIO
polaris-1  | 2026-07-08 01:56:59,078 INFO  [org.apa.pol.ser.tas.TaskExecutorImpl] [2e6f3ccb-3286-4643-ae14-2d1b93d91717_0000000000000008126,POLARIS] [aa415044a10ca4ce4e38b4600c599809,3f92e7c17c63a731,b934e9a7613bab5c,true] (executor-thread-36) Handling task entity id 983
polaris-1  | 2026-07-08 01:56:59,079 INFO  [org.apa.ice.CatalogUtil] [2e6f3ccb-3286-4643-ae14-2d1b93d91717_0000000000000008126,POLARIS] [aa415044a10ca4ce4e38b4600c599809,3f92e7c17c63a731,b934e9a7613bab5c,true] (executor-thread-36) Loading custom FileIO implementation: org.apache.iceberg.aws.s3.S3FileIO
polaris-1  | 2026-07-08 01:57:00,121 INFO  [org.apa.pol.ser.tas.TaskExecutorImpl] [2e6f3ccb-3286-4643-ae14-2d1b93d91717_0000000000000008126,POLARIS] [aa415044a10ca4ce4e38b4600c599809,3f92e7c17c63a731,8db603607789e0d4,true] (executor-thread-33) Handling task entity id 985
polaris-1  | 2026-07-08 01:57:00,122 INFO  [org.apa.ice.CatalogUtil] [2e6f3ccb-3286-4643-ae14-2d1b93d91717_0000000000000008126,POLARIS] [aa415044a10ca4ce4e38b4600c599809,3f92e7c17c63a731,8db603607789e0d4,true] (executor-thread-33) Loading custom FileIO implementation: org.apache.iceberg.aws.s3.S3FileIO
polaris-1  | 2026-07-08 01:57:08,747 INFO  [org.apa.pol.ser.tas.ManifestFileCleanupTaskHandler] [,] [,,,] () manifestFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/6d44fc21-6136-47c7-9a88-263bb8814caf-m0.avro All data files in manifest deleted - deleting manifest
polaris-1  | 2026-07-08 01:57:08,748 INFO  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=795/20260708_014751_00805_yxnpm-1d4f5d16-1f8e-4211-bdcf-911cc5065c08.parquet baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro tableId=test.orders table file cleanup task scheduled, but data file doesn't exist
polaris-1  | 2026-07-08 01:57:18,740 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=835/20260708_014805_00853_yxnpm-324203f1-ca88-43e7-b04e-4fd324bbcc8b.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=835/20260708_014805_00853_yxnpm-324203f1-ca88-43e7-b04e-4fd324bbcc8b.parquet attempt=2 error=software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=802/20260708_014753_00812_yxnpm-ca79f487-2599-45e7-8d6a-5dc50da6f13f.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
